"longitude","latitude","pga_cms2","pga_g"
-5.2,50,41.89,0.0427159121616454
-5.4,50.2,30.235,0.0308311196993877
-5.2,50.2,30.235,0.0308311196993877
-5,50.2,29.875,0.0304640218627156
-5,50.4,24.115,0.0245904564759627
-4.8,50.4,24.115,0.0245904564759627
-4.6,50.4,24.115,0.0245904564759627
-4.4,50.4,24.265,0.0247434139079094
-4.2,50.4,25.23,0.0257274400534331
-4,50.4,27.445,0.0279861114651792
-3.8,50.4,29.515,0.0300969240260436
-3.6,50.4,30.515,0.0311166402390215
-4.8,50.6,26.515,0.0270377753871098
-4.6,50.6,26.515,0.0270377753871098
-4.4,50.6,27.84,0.0283888993693055
-4.2,50.6,29.515,0.0300969240260436
-4,50.6,30.995,0.0316061040212509
-3.8,50.6,43.785,0.0446482743852386
-3.6,50.6,46.745,0.0476666343756533
-2.4,50.6,16.085,0.01640213528575
-2.2,50.6,18.46,0.0188239612915726
-2,50.6,17.95,0.0183039060229538
-4.4,50.8,30.26,0.0308566126047121
-4.2,50.8,44.12,0.0449898793165862
-4,50.8,58.665,0.0598216516343502
-3.8,50.8,51.23,0.0522400615908593
-3.6,50.8,55.475,0.0565687569149506
-3.4,50.8,52.435,0.0534688196274977
-3.2,50.8,47.04,0.0479674506584817
-3,50.8,36.305,0.0370207971121637
-2.8,50.8,25.075,0.0255693840404216
-2.6,50.8,20.555,0.0209602667577613
-2.4,50.8,18.965,0.0193389179791264
-2.2,50.8,18.025,0.0183803847389272
-2,50.8,16.185,0.0165041069070478
-1.8,50.8,24.26,0.0247383153268445
-1.6,50.8,34.415,0.0350935334696354
-1.4,50.8,55.19,0.0562781377942519
-1.2,50.8,55.19,0.0562781377942519
-1,50.8,55.19,0.0562781377942519
-0.8,50.8,55.19,0.0562781377942519
-0.6,50.8,59.44,0.0606119316994081
-0.4,50.8,55.19,0.0562781377942519
-0.2,50.8,55.19,0.0562781377942519
0,50.8,32.71,0.033354917326508
0.2,50.8,33.52,0.0341808874590202
-4.4,51,57.53,0.0586642737326202
-4.2,51,79.995,0.0815721984571694
-4,51,78.505,0.0800528212998323
-3.8,51,64.165,0.0654300908057288
-3.6,51,59.765,0.0609433394686259
-3.4,51,58.99,0.060153059403568
-3.2,51,66.95,0.0682700004588723
-3,51,55.365,0.056456588131523
-2.8,51,40.515,0.0413138023688008
-2.6,51,30.99,0.031601005440186
-2.4,51,25.84,0.0263494669433497
-2.2,51,26.745,0.0272723101160947
-2,51,23.895,0.0243661189091076
-1.8,51,27.94,0.0284908709906033
-1.6,51,27.94,0.0284908709906033
-1.4,51,36.24,0.0369545155583201
-1.2,51,53.94,0.0550034925280294
-1,51,53.94,0.0550034925280294
-0.8,51,53.94,0.0550034925280294
-0.6,51,53.995,0.0550595769197432
-0.4,51,53.995,0.0550595769197432
-0.2,51,30.98,0.0315908082780562
0,51,31.185,0.0317998501017167
0.2,51,32.96,0.0336098463797525
0.4,51,50.79,0.051791386457149
0.6,51,58.995,0.0601581579846329
0.8,51,69.11,0.0704725874789046
1,51,88.15,0.0898879841740044
-4.2,51.2,81.025,0.0826225061565366
-4,51.2,81.025,0.0826225061565366
-3.8,51.2,82.185,0.083805376963591
-3.6,51.2,87.69,0.0894189147160345
-3.4,51.2,64.535,0.0658073858045306
-3.2,51.2,68.67,0.0700239123451943
-3,51.2,63.375,0.0646245149974762
-2.8,51.2,63.375,0.0646245149974762
-2.6,51.2,50.14,0.0511285709187133
-2.4,51.2,41.71,0.0425323632433094
-2.2,51.2,34.76,0.0354453355631128
-2,51.2,29.32,0.0298980793645129
-1.8,51.2,27.175,0.0277107880876752
-1.6,51.2,27.175,0.0277107880876752
-1.4,51.2,35.575,0.0362764042766898
-1.2,51.2,52.67,0.0537084529375475
-1,51.2,52.67,0.0537084529375475
-0.8,51.2,52.67,0.0537084529375475
-0.6,51.2,52.67,0.0537084529375475
-0.4,51.2,52.67,0.0537084529375475
-0.2,51.2,29.32,0.0298980793645129
0,51.2,29.345,0.0299235722698373
0.2,51.2,33.075,0.033727113744245
0.4,51.2,46.635,0.0475544655922257
0.6,51.2,53.39,0.0544426486108916
0.8,51.2,60.39,0.0615806621017371
1,51.2,67.795,0.0691316606588386
1.2,51.2,115.65,0.117930180030897
1.4,51.2,117.8,0.1201225698888
-3.4,51.4,93.07,0.0949049879418558
-3.2,51.4,98.68,0.100625595896662
-2.8,51.4,82.985,0.0846211499339734
-2.6,51.4,65.745,0.0670412424222339
-2.4,51.4,58.255,0.0594035679870292
-2.2,51.4,45.055,0.0459433139757206
-2,51.4,39.23,0.0400034670351241
-1.8,51.4,30.885,0.0314939352378233
-1.6,51.4,27.295,0.0278331540332326
-1.4,51.4,27.295,0.0278331540332326
-1.2,51.4,27.295,0.0278331540332326
-1,51.4,33.83,0.0344969994850433
-0.8,51.4,56.055,0.0571601923184778
-0.6,51.4,27.295,0.0278331540332326
-0.4,51.4,27.295,0.0278331540332326
-0.2,51.4,27.295,0.0278331540332326
0,51.4,28.105,0.0286591241657447
0.2,51.4,31.82,0.0324473698969577
0.4,51.4,42.355,0.0431900802006802
0.6,51.4,55.055,0.0561404761054998
0.8,51.4,78.045,0.0795837518418624
1,51.4,109.25,0.111403996267839
1.2,51.4,126.1,0.128586214456517
-4.2,51.6,84.855,0.0865280192522421
-4,51.6,90.225,0.0920038953159336
-3.8,51.6,90.225,0.0920038953159336
-3.6,51.6,90.225,0.0920038953159336
-3.4,51.6,90.225,0.0920038953159336
-3.2,51.6,90.225,0.0920038953159336
-3,51.6,94.645,0.096511040977296
-2.8,51.6,90.225,0.0920038953159336
-2.6,51.6,92.145,0.0939617504448512
-2.4,51.6,82.545,0.0841724748002631
-2.2,51.6,71.34,0.0727465546338454
-2,51.6,49.175,0.0501445447731896
-1.8,51.6,40.065,0.0408549300729607
-1.6,51.6,31.78,0.0324065812484386
-1.4,51.6,28.315,0.02887326457047
-1.2,51.6,28.315,0.02887326457047
-1,51.6,28.315,0.02887326457047
-0.8,51.6,28.315,0.02887326457047
-0.6,51.6,28.315,0.02887326457047
-0.4,51.6,22.63,0.0230761778996905
-0.2,51.6,22.905,0.0233565998582594
0,51.6,24.3,0.0247791039753637
0.2,51.6,25.615,0.0261200307954296
0.4,51.6,30.35,0.0309483870638801
0.6,51.6,47.355,0.0482886612655698
0.8,51.6,65.135,0.0664192155323174
-5,51.8,71.17,0.0725732028776392
-4.8,51.8,76.73,0.0782428250217964
-4.6,51.8,79.72,0.0812917764986004
-4.4,51.8,78.07,0.0796092447471868
-4.2,51.8,96.01,0.0979029536080109
-4,51.8,73.64,0.0750919019236946
-3.8,51.8,90.93,0.092722795246083
-3.6,51.8,94.23,0.0960878587489102
-3.4,51.8,94.23,0.0960878587489102
-3.2,51.8,94.23,0.0960878587489102
-3,51.8,82.275,0.0838971514227591
-2.8,51.8,57.425,0.0585572035302575
-2.6,51.8,50.51,0.0515058659175152
-2.4,51.8,47.1,0.0480286336312604
-2.2,51.8,45.21,0.0461013699887321
-2,51.8,45.21,0.0461013699887321
-1.8,51.8,41.02,0.0418287590563546
-1.6,51.8,31.28,0.0318967231419496
-1.4,51.8,26.34,0.0268593250498386
-1.2,51.8,23.83,0.024299837355264
-1,51.8,23.83,0.024299837355264
-0.8,51.8,23.19,0.0236472189789582
-0.6,51.8,23.19,0.0236472189789582
-0.4,51.8,23.19,0.0236472189789582
-0.2,51.8,23.19,0.0236472189789582
0,51.8,24.32,0.0247994982996232
0.2,51.8,26.21,0.0267267619421515
0.4,51.8,37.295,0.0380303161630118
0.6,51.8,45.725,0.0466265238384158
0.8,51.8,54.15,0.0552176329327548
1,51.8,74.47,0.0759382663804663
-5,52,49.74,0.0507206844335222
-4.8,52,54.975,0.0560588988084616
-4.6,52,58.54,0.0596941871077279
-4.4,52,73.235,0.0746789168574386
-4.2,52,96.045,0.0979386436754651
-4,52,102.995,0.105025671355662
-3.8,52,96.045,0.0979386436754651
-3.6,52,86.215,0.0879148333018921
-3.4,52,94.315,0.0961745346270133
-3.2,52,94.315,0.0961745346270133
-3,52,78.175,0.0797163149495495
-2.8,52,78.175,0.0797163149495495
-2.6,52,53.005,0.0540500578688951
-2.4,52,48.55,0.0495072221400784
-2.2,52,45.82,0.0467233968786487
-2,52,45.82,0.0467233968786487
-1.8,52,42.315,0.043149291552161
-1.6,52,49.095,0.0500629674761514
-1.4,52,37.615,0.0383566253511648
-1.2,52,39.95,0.0407376627084682
-1,52,31.025,0.0316366955076402
-0.8,52,24.29,0.0247689068132339
-0.6,52,23.435,0.0238970494511377
-0.4,52,23.435,0.0238970494511377
-0.2,52,23.435,0.0238970494511377
0,52,23.435,0.0238970494511377
0.2,52,24.715,0.0252022862037495
0.4,52,32.34,0.0329776223277062
0.6,52,35.225,0.0359195036021475
0.8,52,39.845,0.0406305925061056
1,52,46.595,0.0475136769437066
1.2,52,55.98,0.0570837136025044
1.4,52,76.25,0.077753361239567
-4.2,52.2,60.4,0.0615908592638669
-4,52.2,108.45,0.110588223297456
-3.8,52.2,102.15,0.104164011155695
-3.6,52.2,102.15,0.104164011155695
-3.4,52.2,90.945,0.0927380909892777
-3.2,52.2,82.495,0.0841214889896142
-3,52.2,59.22,0.0603875941325529
-2.8,52.2,53.805,0.0548658308392774
-2.6,52.2,51,0.0520055268618743
