"directivity","event","channel","real","station_id","Acc_Max_EW","Acc_Max_NS","Acc_Max","Max_Sa_0.05_s","Max_Sa_0.1_s","Max_Sa_0.2_s","Max_Sa_0.3_s","Max_Sa_0.4_s","Max_Sa_0.5_s","Max_Sa_0.6_s","Max_Sa_0.7_s","Max_Sa_0.8_s","Max_Sa_0.9_s","Max_Sa_1_s","Max_Sa_2_s","Max_Sa_3_s","Acc_GM_max","GM_Sa_0.05_s","GM_Sa_0.1_s","GM_Sa_0.2_s","GM_Sa_0.3_s","GM_Sa_0.4_s","GM_Sa_0.5_s","GM_Sa_0.6_s","GM_Sa_0.7_s","GM_Sa_0.8_s","GM_Sa_0.9_s","GM_Sa_1_s","GM_Sa_2_s","GM_Sa_3_s","Acc_Res_max","Res_Sa_0.05_s","Res_Sa_0.1_s","Res_Sa_0.2_s","Res_Sa_0.3_s","Res_Sa_0.4_s","Res_Sa_0.5_s","Res_Sa_0.6_s","Res_Sa_0.7_s","Res_Sa_0.8_s","Res_Sa_0.9_s","Res_Sa_1_s","Res_Sa_2_s","Res_Sa_3_s","arias_ew_g","arias_ns_g","arias_ew_m","arias_ns_m","arias_ew_std","arias_ns_std","ew_m_time_5","ew_m_time_95","ns_m_time_5","ns_m_time_95"
"dir000","dudley","Bchan","real10","stn01",0.677,1.09,2.819,1.20479595577079,2.19476807301708,2.81464925465372,1.09525310597124,0.674182205740765,0.382066680815338,0.195658109672739,0.143771814370462,0.114543982331291,0.103357664851287,0.0798967348144503,0.0259578335904721,0.0105659100762266,0.726938858463351,0.973592562785537,2.01091620681655,1.93017079908794,0.800232629029201,0.423646735987135,0.247485725156225,0.164625743121099,0.135554458061804,0.0955012349257744,0.0751527242856846,0.0605648416650127,0.0134443717714914,0.00719775825570336,1.14237775277226,1.43893048879472,2.86560381658995,3.1103459003474,1.24154328200181,0.724838874774689,0.414335983536891,0.239726041696192,0.192366589789724,0.139500376589542,0.116913782535704,0.0921480515043356,0.0268755671214902,0.0116482063451666,1.68521649374178e-08,2.59299002946188e-08,1.62067917701235e-06,2.4936884741847e-06,6.3867024,4.6435428,23.7597048,30.1464072,23.8475952,28.491138
"dir000","dudley","Bchan","real10","stn09",0.46,0.268,5.533,0.51537356305571,1.01425815109046,0.857554385616839,1.09514688667633,0.648428742327655,0.381402852402853,0.3383714036338,0.249732563345476,0.197591063788104,0.153615378251974,0.122078903350988,0.0265426831698956,0.0107755729484004,0.31595253729793,0.392047184996879,0.765233829927018,0.668814596267732,0.573057013142736,0.354215166799059,0.197163940773911,0.194108250257225,0.145955536427313,0.142700427833311,0.124448069671113,0.0992357885852883,0.0224469803198663,0.00925874955043531,0.478183934536701,0.595442993856527,1.16707052532518,1.00373373366828,1.1354579215532,0.676683490059582,0.394786497356645,0.356222211932402,0.263899622699252,0.222852541430979,0.183744714348679,0.146323023769247,0.0326324773187842,0.0133941041612372,1.39688015893266e-08,4.25197412005213e-09,1.34338501597331e-06,4.08913984829547e-07,15.307578,14.3993772,79.2185472,94.5261252,79.1892504,93.5886276
"dir000","dudley","Bchan","real10","stn12",0.21,0.238,3.971,0.264257482112985,0.511405010572458,0.514525406579052,0.570592907082343,0.304605782229308,0.211646690450134,0.143628800008978,0.0862583333599645,0.0700818268787899,0.0816881444057038,0.0686504360330624,0.0119360112882843,0.00619647806069507,0.168326222520438,0.247965407554595,0.492677055628836,0.496673128850698,0.505140312003679,0.286227120335492,0.203900968674975,0.139108874694091,0.0846637110986711,0.0677395104036756,0.0711939133759379,0.0614110260179935,0.0117823933201022,0.00611584953653191,0.241827306746281,0.352095107177443,0.697720145292999,0.703277584637115,0.724955393732326,0.406352973965095,0.288760268058887,0.196930763256151,0.119774254626647,0.095908815908555,0.102581128743219,0.0879246293966091,0.0166656163302467,0.00865060100117985,4.53005622065033e-09,4.52085612391936e-09,4.35657247289592e-07,4.34772470451852e-07,14.1796512,17.5194864,93.6618696,107.8415208,89.7653952,107.2848816
"dir000","dudley","Bchan","real20","stn01",0.72,1.195,2.819,1.30671443730505,2.70613140050293,3.09438890107106,1.22342991757571,0.741798504917107,0.424988027752402,0.231461340058911,0.16124907422855,0.124854447352833,0.10446069690859,0.0900814497924931,0.0283170520211474,0.0115993246913024,0.857815744912624,1.05181534199462,2.53360757373853,2.1528127502163,0.861781939486161,0.478410172449,0.276295379371852,0.184499837347118,0.147869939134456,0.102140391501744,0.0768648962303614,0.0651812794201246,0.015377481860101,0.0075579190028534,1.26198120338775,1.55701649267044,3.59860017848832,3.43780163438738,1.36575091439658,0.803407391193664,0.461389774605564,0.274231440543174,0.210686655628669,0.150235376358927,0.118789641929363,0.101681404753268,0.0295226942116808,0.0126014327696733,2.18403757474362e-08,3.07410867986302e-08,2.10039732719469e-06,2.95638212884131e-06,6.0204924,4.7900268,23.657166,29.6776584,23.7450564,28.5350832
"dir000","dudley","Bchan","real20","stn09",0.498,0.268,5.533,0.556750562542892,0.943388423048442,1.0313448866624,1.26912296534844,0.771691098862946,0.432578372747641,0.372187714751319,0.256939797073866,0.199974679529441,0.154202679054367,0.121747343481392,0.0277398107277635,0.0114782407822876,0.32444365289677,0.408452245076238,0.765898496170996,0.777031014943919,0.663817633180194,0.430088566662917,0.226909260299004,0.212409469427556,0.151738024877149,0.145176358929952,0.125910209982217,0.0995404957415088,0.0229901508690181,0.00958922896880032,0.512391437556289,0.632269298494881,1.12987567728274,1.18591614807456,1.31576167921211,0.808062108970607,0.448654759946563,0.391431676315911,0.272117710510294,0.22604825563619,0.185332405064935,0.146443859014528,0.0336532608219648,0.0139974177346452,1.74712427691291e-08,5.31011438992569e-09,1.68021612995156e-06,5.10675741144498e-07,15.6298428,14.3407836,79.1599536,94.7897964,79.1453052,93.4860888
"dir000","dudley","Bchan","real20","stn12",0.238,0.226,3.971,0.264723097247482,0.535348450954262,0.630600248950955,0.670927891441745,0.362509272005933,0.241755698883673,0.159159945953144,0.0916091781604568,0.072032376821555,0.0841292823785749,0.0676597298656906,0.0125282043912335,0.00638479508563734,0.186585348958593,0.255233230736913,0.492622644048239,0.606439824748836,0.598228580565954,0.348814646697568,0.240498959218859,0.156869732622198,0.0890453010971162,0.0691407332476028,0.0745596048952058,0.0609678950671932,0.012422291580793,0.0062936534135591,0.273448523706017,0.361435245250716,0.701487689579246,0.85894401753811,0.857127147189391,0.494029771120349,0.340126128885319,0.221893906015148,0.126030529700984,0.09794385744717,0.106977105080488,0.0871551095969624,0.0175690394672655,0.00890240985230184,5.66899320042092e-09,5.96927120004334e-09,5.45189254239257e-07,5.74067104836694e-07,14.5165644,17.4462444,93.5886276,108.105192,89.6775048,107.1237492
"dir000","dudley","Bchan","real30","stn01",0.696,1.122,2.819,1.21713982849461,2.11706454726618,2.84733123767702,1.09652960900247,0.621118489697507,0.326188241496036,0.200058305522509,0.149142570926201,0.11479462481945,0.103335407934629,0.0813001407511939,0.0258559627782701,0.0104676860573293,0.785791266176966,0.983850541425635,1.83946235637189,2.02747024924098,0.75567888483576,0.405141569756251,0.225556623853802,0.167757029414083,0.142183571908779,0.0938943123256778,0.0721606093709438,0.0587278533676406,0.0139682612581884,0.00682068558906163,1.2337376387324,1.45392331592299,2.6526214604054,3.19241406714891,1.21391469415426,0.674999266725938,0.361559968929575,0.244564270897726,0.201536879496205,0.138115646305328,0.114967121110471,0.0917027108330754,0.0269346396124961,0.0113720902321499,1.93098943004992e-08,2.9447123196744e-08,1.85703995417471e-06,2.83194115207829e-06,6.4306476,4.687488,23.6864628,30.1171104,23.7890016,28.4764896
"dir000","dudley","Bchan","real30","stn09",0.449,0.247,5.533,0.494002905859358,0.881926108568935,0.829691038899761,0.980568143320203,0.558910217614027,0.355035587686199,0.312853201390278,0.255637425587734,0.200777849715143,0.157964665734915,0.124356680982623,0.0267149694165567,0.0109331724606399,0.295885349461578,0.368851320256559,0.68939239238773,0.662501541624068,0.515081563047297,0.313370709174419,0.192641472937287,0.183617831846485,0.147410520329989,0.145053270200092,0.128223742976002,0.100769687932615,0.0225471038429681,0.00929685315628899,0.452082643767497,0.565585767321308,1.03353614392182,0.983987007032022,1.01721196619662,0.585876733158076,0.370102853735199,0.330894286917894,0.269399231234893,0.22648106014919,0.189171784719039,0.148769507530345,0.0327995515153206,0.0134918551157154,1.37838499178105e-08,4.60660409453395e-09,1.32559814266115e-06,4.43018885732157e-07,15.2929296,14.0917608,79.174602,94.4675316,79.1599536,93.2517144
"dir000","dudley","Bchan","real30","stn12",0.214,0.223,3.971,0.247957388113516,0.470824839206591,0.517273606973213,0.494525979744173,0.259139923193931,0.203277330781463,0.136239322076709,0.0870951453390077,0.0708308676765645,0.0823625404215015,0.0712474911861905,0.0117104580877704,0.00620011642007944,0.163254046672663,0.241666213852845,0.423195771708158,0.498758755832812,0.440812042726474,0.24301175371908,0.192455220269514,0.133579176108862,0.0830478850362868,0.0687795338521734,0.0707128083791519,0.0635532170264117,0.0116523176992394,0.00602934676669356,0.237811182663894,0.341993336233824,0.605283986481288,0.706288292090476,0.631626296911127,0.345088608509841,0.272986972706454,0.18898293072061,0.117713271634528,0.0973529480636955,0.102320073705477,0.0910491458917744,0.0164792739433493,0.00853343443309158,4.5911950659552e-09,4.50712738385006e-09,4.41536993533349e-07,4.33452172244775e-07,14.5165644,17.6806188,92.9880432,107.5046076,89.7068016,107.3874204
"dir000","folkestone","Hchan","real10","stn01",0.345,0.829,2.819,0.889446669265104,1.4083895233878,2.12344612681281,1.0654939094497,0.621497034623096,0.434857938043765,0.295950711854769,0.266677587010948,0.227753518238782,0.181047297850593,0.131282672348085,0.0290675959019412,0.00976700291367038,0.515676185977208,0.586098203659311,1.09478251269598,1.48644727621516,0.89688048934091,0.508176680784935,0.401802154610963,0.258034236397388,0.230063910451333,0.164069959463888,0.150497696781888,0.0989070181317357,0.0247944145805577,0.00954326537727113,0.871864824147069,0.969676091927121,1.645531296262,2.36468643155157,1.30584331090362,0.747605657455869,0.571782085862171,0.371753697054106,0.332430605868855,0.256595661244352,0.220065626611091,0.150955969209466,0.0359475088050447,0.0135034625734983,1.66601109500541e-08,2.28039941918039e-08,1.60220927125599e-06,2.19306888323374e-06,24.4481796,10.4150124,39.8582964,64.306476,39.7997028,50.2147152
