"event","event_longitude","event_latitude","channel","station_id","station","station_longitude","station_latitude","structure","Vs_30","site_type"
"dudley",-2.16,52.53,"Bchan","stn01","HBL2",-3.0365,52.0509,"0009",900,"rock"
"dudley",-2.16,52.53,"Bchan","stn02","KEY2",-1.077,52.879,"0009",500,"soil"
"dudley",-2.16,52.53,"Bchan","stn03","SWN",-1.8007,51.5137,"0009",500,"soil"
"dudley",-2.16,52.53,"Bchan","stn04","LDU",-1.554,53.8058,"0009",900,"rock"
"dudley",-2.16,52.53,"Bchan","stn05","WOL",-1.22,51.31,"0009",500,"soil"
"dudley",-2.16,52.53,"Bchan","stn06","AEU",1.2347,52.6202,"0009",500,"soil"
"dudley",-2.16,52.53,"Bchan","stn07","BBO",-3.2464,54.7367,"0009",500,"soil"
"dudley",-2.16,52.53,"Bchan","stn08","BTA",-2.6844,54.9057,"0009",500,"soil"
"dudley",-2.16,52.53,"Bchan","stn10","BNA",-3.6242,54.9658,"0008",900,"rock"
"dudley",-2.16,52.53,"Bchan","stn09","BHH",-3.2181,55.0931,"0008",500,"soil"
"dudley",-2.16,52.53,"Bchan","stn11","ESK",-3.2052,55.3165,"0008",900,"rock"
"dudley",-2.16,52.53,"Bchan","stn12","CCA",-5.2277,50.1866,"0006",900,"rock"
"folkestone",1.17,51.1,"Hchan","stn08","TFO",1.1409,51.1135,"0001",500,"soil"
"folkestone",1.17,51.1,"Hchan","stn01","APAE",1.4782,52.3006,"0009",500,"soil"
"folkestone",1.17,51.1,"Hchan","stn04","CWF",-1.3077,52.7385,"0009",900,"rock"
"folkestone",1.17,51.1,"Hchan","stn07","HLM1",-2.8807,52.5183,"0009",900,"rock"
"folkestone",1.17,51.1,"Hchan","stn05","MCH",-2.9983,51.9973,"0009",900,"rock"
"folkestone",1.17,51.1,"Hchan","stn06","STNC",-2.2062,53.0913,"0009",714,"soil"
"folkestone",1.17,51.1,"Hchan","stn03","SWN1",-1.8003,51.5132,"0009",503,"soil"
"folkestone",1.17,51.1,"Hchan","stn02","WOL",-1.22,51.31,"0009",500,"soil"
"rasen",-0.33,53.4,"Hchan","stn01","CWF",-1.3077,52.7385,"0009",900,"rock"
"rasen",-0.33,53.4,"Hchan","stn10","EDI",-3.1875,55.9233,"0008",900,"rock"
