"event","channel","filtering","station","epidistance","station_latitude","station_longitude","Dis_Max_EW","Dis_Max_NS","Dis_Max","Vel_Max_EW","Vel_Max_NS","Vel_Max","Acc_Max_EW","Acc_Max_NS","Acc_Max","Max_Sa_0.05_s","Max_Sa_0.1_s","Max_Sa_0.2_s","Max_Sa_0.3_s","Max_Sa_0.4_s","Max_Sa_0.5_s","Max_Sa_0.6_s","Max_Sa_0.7_s","Max_Sa_0.8_s","Max_Sa_0.9_s","Max_Sa_1_s","Max_Sa_2_s","Max_Sa_3_s","Dis_GM_max","Vel_GM_max","Acc_GM_max","GM_Sa_0.05_s","GM_Sa_0.1_s","GM_Sa_0.2_s","GM_Sa_0.3_s","GM_Sa_0.4_s","GM_Sa_0.5_s","GM_Sa_0.6_s","GM_Sa_0.7_s","GM_Sa_0.8_s","GM_Sa_0.9_s","GM_Sa_1_s","GM_Sa_2_s","GM_Sa_3_s","Dis_Res_max","Vel_Res_max","Acc_Res_max","Res_Sa_0.05_s","Res_Sa_0.1_s","Res_Sa_0.2_s","Res_Sa_0.3_s","Res_Sa_0.4_s","Res_Sa_0.5_s","Res_Sa_0.6_s","Res_Sa_0.7_s","Res_Sa_0.8_s","Res_Sa_0.9_s","Res_Sa_1_s","Res_Sa_2_s","Res_Sa_3_s","arias_ew_g","arias_ns_g","arias_ew_m","arias_ns_m","arias_ew_std","arias_ns_std","ew_m_time_5","ew_m_time_95","ns_m_time_5","ns_m_time_95"
"folkestone","Hchan","10Hz","CWF",249.564,52.7385,-1.3077,4e-04,4e-04,4e-04,0.0031,0.0033,0.0033,0.0873,0.0574,0.0873,0.0993273953325363,0.215241473833711,0.170308300418481,0.090088261242925,0.12028072969299,0.124047733670236,0.1162188933092,0.0657484342103237,0.0400762905396369,0.0460577279185189,0.035859492678738,0.00780431489952271,0.00317909045433793,3e-04,0.0032,0.0502,7.80909765464783,17.8645932325206,16.1004558371761,7.74265448641976,9.87591431183571,11.3696064371536,9.48238756886557,6.55232736632515,3.78926553068075,3.39092644647454,2.76514899978379,0.663067881139634,0.283201536775404,5e-04,0.0045,0.0902,11.6770165418648,26.1368696673981,22.8413042136311,11.2000235757355,14.5061289576582,16.2009863648914,13.9615773144648,9.26649927335795,5.37564380078897,5.23886739371935,4.17197957767813,0.962517932530692,0.405848460398042,8.35648766181391e-10,7.36625177241586e-10,8.03646629187225e-08,7.08415263232905e-08,53.01,56.84,60.21,113.22,60.02,116.86
"folkestone","Hchan","10Hz","HPK",370.225,53.9582,-1.6242,8e-04,6e-04,8e-04,0.0036,0.0055,0.0055,0.0486,0.0689,0.0689,0.0715218995296849,0.126833143562364,0.16473914394161,0.149871144583887,0.153332167340923,0.143684657324746,0.139611507569789,0.182908048168628,0.10567572902636,0.0925709015146352,0.0787720273104476,0.0105690423067793,0.00356180114868272,5e-04,0.0026,0.0391,6.02444363163819,11.1745243141256,14.4555250849844,13.7623991727957,13.5333691472665,13.7254062686314,12.502758807019,13.5110003191397,7.55108680919923,6.8087222129016,6.02797585228806,0.928303950933602,0.333684284203305,8e-04,0.0055,0.0704,8.76952452078453,16.0559888744704,20.7914551399927,19.6042522102476,19.4367071528228,19.4513355705139,17.8963705750544,20.8364892776106,11.8653538916221,10.5248708507894,9.12846481698872,1.33485739873708,0.473908031786846,1.38598953872974e-09,1.76684223063903e-09,1.33291146468004e-07,1.69917896181094e-07,54.26,59.48,98.83,153.09,93.11,152.59
"folkestone","Hchan","10Hz","MCH1",305.837,51.9973,-2.9983,3e-04,3e-04,3e-04,0.0019,0.0017,0.0019,0.0381,0.0297,0.0381,0.0424773520516823,0.081251587195089,0.0732980823593819,0.0572221997979231,0.0593293306397703,0.0553062292145685,0.0541760474914712,0.0454193982048415,0.028687351387976,0.0227643778050673,0.0166366934864345,0.00573499793693761,0.00304319012653553,2e-04,0.0011,0.0203,3.7893951881176,7.70068946026176,6.8726535843279,5.46070568623925,5.41613288527158,5.45826253696834,5.00471777752535,3.76946164049243,2.85435560516678,2.245663835628,1.59777695959019,0.52321548019609,0.263360446021998,3e-04,0.0019,0.0382,5.42873000624601,10.9217569326165,9.75968087315944,7.73949693861311,7.72310093533462,7.72048773188978,7.12217127144801,5.51505926505091,4.03677034086421,3.17643656181303,2.26328712406544,0.746160550773303,0.38020401646072,3.75977273038149e-10,3.8179073682584e-10,3.61578788070066e-08,3.67169618531324e-08,74.46,63.19,69.48,143.94,78.31,141.5
"folkestone","Hchan","10Hz","STNC",320.291,53.0913,-2.2062,8e-04,0.001,0.001,0.0056,0.0044,0.0056,0.0727,0.0547,0.0727,0.0772246526359592,0.102833086268167,0.187348040655113,0.178479927568509,0.169377750390174,0.239797870833137,0.146070905190683,0.124431313795026,0.107556966125256,0.107989584671601,0.107366038834514,0.0175380680130211,0.010879782672141,6e-04,0.004,0.0491,6.65345712573203,9.97930648948336,18.4406151607816,17.1226493038924,16.3218524473096,18.9076574354964,13.9324348372182,11.1583279350988,10.2816662788556,10.5308192142671,9.78404398622285,1.51353119063147,0.797082124730417,0.001,0.0056,0.0742,9.61754769726269,14.1255774245539,26.0855007365203,24.2567531447089,23.114248825696,28.2363179076225,19.747480938083,15.967318786743,14.5700022387997,14.9022415967,13.9559896353461,2.18676211478255,1.23479165013968,2.09521080676562e-09,1.71719208661873e-09,2.01497228313784e-07,1.65143022753959e-07,70.86,67.81,71.56,142.42,77.13,144.94
"folkestone","Hchan","10Hz","SWN1",212.155,51.5132,-1.8003,0.004,0.0015,0.004,0.0061,0.0069,0.0069,0.1142,0.133,0.133,0.139446224041821,0.218913346544068,0.377483096747479,0.233963938160569,0.258501539864672,0.299630028420062,0.216831952032518,0.151266447797699,0.224278831500649,0.137615860836155,0.109327666355556,0.035936136820569,0.0295728785364374,0.0013,0.0043,0.0894,12.931123544465,18.4762501256632,36.6447400750409,22.8746305681844,19.2320480783935,26.0496199777312,18.2461755638654,14.2637807879784,19.8523206806189,13.5367033651539,9.35312496424231,3.46278418099148,2.10059168998207,0.004,0.0072,0.1396,18.3913956825729,26.8775187228517,51.8691048478994,32.3660662665442,29.5458595394196,37.5590752711406,26.5688738436278,20.2415800661403,28.4921696732545,19.1489862074588,13.5481704545342,4.90384992914112,3.31237518096698,3.58858506004146e-09,4.70525310790398e-09,3.4511560403931e-07,4.52505999251238e-07,76.33,70.32,55.93,132.26,63.78,134.1
"folkestone","Hchan","35Hz","CWF",249.564,52.7385,-1.3077,4e-04,4e-04,4e-04,0.0032,0.0034,0.0034,0.1129,0.0697,0.1129,0.177205095170327,0.303293781604729,0.174168359481459,0.0901677181014147,0.121685868783549,0.124424694814447,0.115666741358744,0.065730076461062,0.0403987949939335,0.04604802151325,0.03585776004078,0.00782463423893226,0.00318057412382282,3e-04,0.0033,0.061,17.0384427169217,25.6948427237448,16.4142369503435,7.75047594054793,9.98167888852656,11.3835513329145,9.46678895282385,6.54983028740058,3.80578611220833,3.39483794268993,2.76597325776931,0.663379841890996,0.2836914405479,5e-04,0.0046,0.1157,24.1331097281306,37.3328085086267,23.2947857066134,11.2109156599128,14.6667828324538,16.2259704730007,13.9219778285081,9.26297440227344,5.40136067145633,5.24101505188954,4.17253330771175,0.963620717020548,0.406434619751112,1.83750741724254e-09,1.36404873757795e-09,1.76713794327909e-07,1.31181091191087e-07,52.64,58,61.46,114.1,59.28,117.28
"folkestone","Hchan","35Hz","HPK",370.225,53.9582,-1.6242,8e-04,6e-04,8e-04,0.0035,0.0055,0.0055,0.0516,0.0707,0.0707,0.0758339950236113,0.190000248909162,0.165131200789935,0.149918848817541,0.153448701635473,0.143716428816368,0.139536635041792,0.182947025980314,0.105687639891495,0.0925569081260836,0.0787898893119811,0.0105734557083965,0.00356372351075599,5e-04,0.0026,0.0393,7.17618914820304,14.7792120951372,14.511636322342,13.753924154918,13.5613965141274,13.7271511169629,12.4984807866553,13.5161159967727,7.55140483018438,6.80725056424576,6.02925472159848,0.928174755832948,0.333756977778725,8e-04,0.0055,0.0723,10.1795640378395,22.2072051143612,20.8642183581844,19.5952875393998,19.4707543308478,19.4539754539836,17.8894932335145,20.842512461404,11.8663448558413,10.522970230666,9.13046668378739,1.3348605970625,0.474031109645181,1.6864824699984e-09,1.99334454698408e-09,1.62189667124257e-07,1.91700710971284e-07,77.84,69.36,86.57,164.41,86.08,155.44
"folkestone","Hchan","35Hz","MCH1",305.837,51.9973,-2.9983,3e-04,3e-04,3e-04,0.002,0.0017,0.002,0.0451,0.0341,0.0451,0.0638227227201929,0.140251575317627,0.0732006587212881,0.0572727765648603,0.0590749740681224,0.055403621281933,0.0542059107209478,0.0454688410241042,0.0286745420797099,0.0227326453066513,0.0166448361182554,0.00573625213275593,0.00304300275743956,2e-04,0.0011,0.0245,6.19658991439016,12.2774343247838,6.84966302084037,5.44060917555624,5.41006866807914,5.46291854601883,5.00664371444019,3.76931898001509,2.85379842696999,2.24334787652048,1.59860372641077,0.523319763241166,0.263344124320516,3e-04,0.002,0.0452,8.77093961555044,17.6695732830652,9.72958975431598,7.71446202353478,7.71011300741741,7.72726432522927,7.12509857488871,5.51707039022152,4.03597241032103,3.17312975720559,2.26445314687933,0.746311894155594,0.38018049670267,5.2885304598153e-10,5.70051715698429e-10,5.08600006292832e-08,5.48220925254132e-08,71.3,64.23,69.35,140.65,74.76,138.99
"folkestone","Hchan","35Hz","STNC",320.291,53.0913,-2.2062,8e-04,0.001,0.001,0.0056,0.0045,0.0056,0.0768,0.0604,0.0768,0.115915223253324,0.149472562020391,0.188134110498269,0.178407825899162,0.16944268724197,0.239714181312524,0.146089550959614,0.12448919950154,0.107520606987905,0.108000283987463,0.107334599260926,0.0175287642129146,0.010879523275783,6e-04,0.004,0.0558,10.8448759352075,14.1299178149118,18.4521296345769,17.085559325457,16.3360557771771,18.8953085925588,13.931317844159,11.1577605669577,10.2780072063062,10.5348359612799,9.78579861809548,1.51371775487982,0.797224374741221,0.001,0.0057,0.0793,15.4049105182093,20.0458774414131,26.1050626362547,24.2078204107739,23.133536086947,28.2216776104028,19.7462855260826,15.9682786967473,14.5648403893661,14.907715469468,13.9572847154972,2.18662292636909,1.23487398086396,2.94748359962588e-09,2.56494885471074e-09,2.83460630265539e-07,2.46672116868594e-07,169.17,167.65,40.2,209.37,42.66,210.31
"folkestone","Hchan","35Hz","SWN1",212.155,51.5132,-1.8003,0.004,0.0015,0.004,0.0061,0.007,0.007,0.1161,0.1346,0.1346,0.140768260327625,0.280759972113058,0.378272730928578,0.234343825639305,0.258406992982988,0.299743670666425,0.216685901574052,0.151272218759792,0.224231381151585,0.13758463730201,0.10931075332779,0.0359355916312198,0.0295698258613544,0.0013,0.0044,0.0931,13.0720172236378,22.2233789282082,36.7678593948488,22.8855753300822,19.2148981422224,26.0633489042392,18.2352689731995,14.2661300971947,19.8515825823516,13.5348157562076,9.35387153226451,3.46315067803582,2.10031812085961,0.004,0.0072,0.1408,18.5879181671242,33.1315108469653,52.0395575032392,32.3832645821712,29.5277687187295,37.5773566161504,26.5523235607874,20.2446147130631,28.4899223694421,19.1462609857106,13.5482917956711,4.90432508243462,3.31199695491207,3.86809923131684e-09,4.97621317365374e-09,3.71996589286497e-07,4.78564332883346e-07,79.84,69.93,54.89,134.73,63.14,133.07
