"event","channel","filtering","station","epidistance","station_latitude","station_longitude","Vs_30_value","site_type_binary","groundmotion","amplitude","component","groundmotion_bis","filtering_bis"
"dudley","Bchan","f10Hz","HBL2",79.95,52.0509,-3.0365,760,"Soil","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","KEY2",82.64,52.879,-1.077,550,"Soil","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","SWN",115.65,51.5137,-1.8007,500,"Soil","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","LDU",147.5,53.8058,-1.554,1000,"Rock","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","WOL",150.2,51.31,-1.22,500,"Soil","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","AEU",229.6,52.6202,1.2347,500,"Soil","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","BBO",255.16,54.7367,-3.2464,500,"Soil","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","BTA",266.4,54.9057,-2.6844,500,"Soil","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","BNA",287.43,54.9658,-3.6242,900,"Rock","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","BHH",293.34,55.0931,-3.2181,500,"Soil","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","ESK",317,55.3165,-3.2052,2000,"Rock","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","CCA",337,50.1866,-5.2277,845,"Rock","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","TFO",2.532,51.1135,1.1409,480,"Soil","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","APAE",135.476,52.3006,1.4782,300,"Soil","Dis_Max",NA,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","CWF",249.562,52.7385,-1.3077,1050,"Rock","Dis_Max",4e-04,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","HLM1",320.795,52.5183,-2.8807,1000,"Rock","Dis_Max",3e-04,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","MCH",305.84,51.9973,-2.9983,900,"Rock","Dis_Max",3e-04,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","STNC",320.292,53.0913,-2.2062,760,"Soil","Dis_Max",0.001,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","SWN1",212.156,51.5132,-1.8003,503,"Soil","Dis_Max",0.004,"maximum","PGD","low frequency filtering (10 Hz)"
