"event","chan","filt","stat_id","struct","stalon","stalat","epidistance","station_name","Vs_30"
"dudley","Bchan","f11Hz","stn01","0009",-3.0365,52.0509,79.95,"HBL2",900
"dudley","Bchan","f11Hz","stn02","0009",-1.077,52.879,82.64,"KEY2",500
"dudley","Bchan","f11Hz","stn03","0009",-1.8007,51.5137,115.65,"SWN",500
"dudley","Bchan","f11Hz","stn04","0009",-1.554,53.8058,147.5,"LDU",900
"dudley","Bchan","f11Hz","stn05","0009",-1.22,51.31,150.2,"WOL",500
"dudley","Bchan","f11Hz","stn06","0009",1.2347,52.6202,229.6,"AEU",500
"dudley","Bchan","f11Hz","stn07","0009",-3.2464,54.7367,255.16,"BBO",500
"dudley","Bchan","f11Hz","stn08","0009",-2.6844,54.9057,266.4,"BTA",500
"dudley","Bchan","f11Hz","stn10","0008",-3.6242,54.9658,287.43,"BNA",900
"dudley","Bchan","f11Hz","stn09","0008",-3.2181,55.0931,293.34,"BHH",500
"dudley","Bchan","f11Hz","stn11","0008",-3.2052,55.3165,317,"ESK",900
"dudley","Bchan","f11Hz","stn12","0006",-5.2277,50.1866,337,"CCA",900
"folkestone","Hchan","f11Hz","stn08","0001",1.1409,51.1135,2.532,"TFO",500
"folkestone","Hchan","f11Hz","stn01","0009",1.4782,52.3006,135.476,"APAE",500
"folkestone","Hchan","f11Hz","stn04","0009",-1.3077,52.7385,249.562,"CWF",900
"folkestone","Hchan","f11Hz","stn07","0009",-2.8807,52.5183,320.795,"HLM1",900
"folkestone","Hchan","f11Hz","stn05","0009",-2.9983,51.9973,305.84,"MCH",900
"folkestone","Hchan","f11Hz","stn06","0009",-2.2062,53.0913,320.292,"STNC",714
"folkestone","Hchan","f11Hz","stn03","0009",-1.8003,51.5132,212.156,"SWN1",503
"folkestone","Hchan","f11Hz","stn02","0009",-1.22,51.31,168.65,"WOL",500
"mkrasen","Hchan","f11Hz","stn01","0009",-1.3077,52.7385,98.558,"CWF",900
"mkrasen","Hchan","f11Hz","stn10","0008",-3.1875,55.9233,335.945,"EDI",900
"mkrasen","Hchan","f11Hz","stn08","0008",-3.2052,55.3165,283.587,"ESK",900
"mkrasen","Hchan","f11Hz","stn09","0008",-4.7113,54.8663,329.548,"GAL1",390
"mkrasen","Hchan","f11Hz","stn04","0009",-2.8807,52.5183,197.485,"HLM1",900
"mkrasen","Hchan","f11Hz","stn02","0009",-1.6242,53.9582,105.698,"HPK",589
"mkrasen","Hchan","f11Hz","stn06","0009",-2.9983,51.9973,238.517,"MCH1",900
"mkrasen","Hchan","f11Hz","stn03","0009",-2.2062,53.0913,129.866,"STNC",714
"mkrasen","Hchan","f11Hz","stn05","0009",-1.8003,51.5132,232.523,"SWN1",503
"mkrasen","Hchan","f11Hz","stn07","0005",-4.3967,53.2893,271.089,"WLF1",445
"mkrasen","Bchan","f11Hz","stn01","0009",-1.3077,52.7385,98.558,"CWF",900
"mkrasen","Bchan","f11Hz","stn06","0008",-3.1875,55.9233,335.945,"EDI",900
"mkrasen","Bchan","f11Hz","stn03","0008",-3.2052,55.3165,283.587,"ESKGB",900
"mkrasen","Bchan","f11Hz","stn04","0008",-3.205,55.3167,283.595,"ESKII",900
"mkrasen","Bchan","f11Hz","stn05","0008",-4.7113,54.8663,329.548,"GAL1",390
"mkrasen","Bchan","f11Hz","stn02","0009",-2.9983,51.9973,238.517,"MCH1",900
"swansea","Hchan","f11Hz","stn21","0006",-5.2273,50.1867,201.621,"CCA1",845
"swansea","Hchan","f11Hz","stn10","0009",-1.3077,52.7385,203.162,"CWF",900
"swansea","Hchan","f11Hz","stn08","0009",-3.931,50.4353,148.651,"DYA",900
"swansea","Hchan","f11Hz","stn19","0004",-3.1998,52.8895,131.769,"FOEL",900
"swansea","Hchan","f11Hz","stn04","0009",-2.8807,52.5183,105.624,"HLM1",900
"swansea","Hchan","f11Hz","stn14","0009",0.3363,50.8673,307.276,"HMNX",900
"swansea","Hchan","f11Hz","stn12","0009",-1.6242,53.9582,285.214,"HPK",589
"swansea","Hchan","f11Hz","stn03","0009",-4.4848,50.9943,97.597,"HTL",390
"swansea","Hchan","f11Hz","stn15","0009",-3.1048,54.5887,317.409,"KESW",900
"swansea","Hchan","f11Hz","stn11","0009",-1.7247,53.4015,230.895,"LBWR",900
"swansea","Hchan","f11Hz","stn13","0009",-0.3274,53.4573,302.498,"LMK",900
"swansea","Hchan","f11Hz","stn01","0009",-2.9983,51.9973,62.602,"MCH1",900
"swansea","Hchan","f11Hz","stn18","0003",-2.8042,51.8392,71.175,"MONM",900
"swansea","Hchan","f11Hz","stn02","0009",-2.5502,51.6605,89.287,"OLDB",327
"swansea","Hchan","f11Hz","stn17","0003",-4.7448,51.9528,66.224,"RSBS",900
"swansea","Hchan","f11Hz","stn09","0009",-2.2062,53.0913,183.884,"STNC",714
"swansea","Hchan","f11Hz","stn05","0009",-2.1625,51.7758,115.098,"STRD",900
"swansea","Hchan","f11Hz","stn06","0009",-1.8003,51.5132,143.375,"SWN1",503
"swansea","Hchan","f11Hz","stn07","0009",-3.5536,50.477,145.146,"TGGS",759
"swansea","Hchan","f11Hz","stn16","0009",0.6266,52.7246,322.317,"WACR",466
"swansea","Hchan","f11Hz","stn20","0005",-4.3966,53.2894,173.39,"WLF1",445
"swansea","Bchan","f11Hz","stn17","0006",-5.2273,50.1867,201.621,"CCA1",845
"swansea","Bchan","f11Hz","stn08","0009",-1.3077,52.7385,203.162,"CWF",900
"swansea","Bchan","f11Hz","stn05","0009",-3.931,50.4353,148.651,"DYA",900
"swansea","Bchan","f11Hz","stn15","0004",-3.2012,52.8879,131.571,"FOEL",900
"swansea","Bchan","f11Hz","stn11","0009",0.3363,50.8673,307.276,"HMNX",900
"swansea","Bchan","f11Hz","stn10","0009",-1.6242,53.9582,285.214,"HPK",589
"swansea","Bchan","f11Hz","stn02","0009",-4.4848,50.9943,97.597,"HTL",390
"swansea","Bchan","f11Hz","stn12","0009",-3.1034,54.5885,317.405,"KESW",900
"swansea","Bchan","f11Hz","stn09","0009",-1.7247,53.4016,230.903,"LBWR",900
"swansea","Bchan","f11Hz","stn14","0004",-3.665,52.8492,120.612,"LLW",900
"swansea","Bchan","f11Hz","stn01","0009",-2.9983,51.9973,62.602,"MCH1",900
"swansea","Bchan","f11Hz","stn16","0006",-4.6856,50.5653,146.777,"SBD",900
"swansea","Bchan","f11Hz","stn06","0009",-2.2062,53.0913,183.88,"STNC",714
"swansea","Bchan","f11Hz","stn03","0009",-1.8003,51.5132,143.375,"SWN1",503
"swansea","Bchan","f11Hz","stn04","0009",-3.5536,50.477,145.146,"TGGS",759
"swansea","Bchan","f11Hz","stn13","0009",0.6266,52.7246,322.317,"WACR",466
"swansea","Bchan","f11Hz","stn18","0005",-4.3966,53.2894,173.39,"WLF1",445
"swansea","Bchan","f11Hz","stn07","0009",-1.22,51.31,188.163,"WOL",500
