"event","channel","filtering","station","epidistance","station_latitude","station_longitude","Vs_30_value","site_type_binary","groundmotion","amplitude","component","groundmotion_bis","filtering_bis"
"folkestone","Hchan","10Hz","CWF",249.564,52.7385,-1.3077,1050,"Rock","Dis_Max",4e-04,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","10Hz","HPK",370.225,53.9582,-1.6242,760,"Soil","Dis_Max",8e-04,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","10Hz","MCH1",305.837,51.9973,-2.9983,760,"Soil","Dis_Max",3e-04,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","10Hz","STNC",320.291,53.0913,-2.2062,760,"Soil","Dis_Max",0.001,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","10Hz","SWN1",212.155,51.5132,-1.8003,503,"Soil","Dis_Max",0.004,"maximum","PGD","low frequency filtering (10 Hz)"
"folkestone","Hchan","35Hz","CWF",249.564,52.7385,-1.3077,1050,"Rock","Dis_Max",4e-04,"maximum","PGD","high frequency filtering (35 Hz)"
"folkestone","Hchan","35Hz","HPK",370.225,53.9582,-1.6242,760,"Soil","Dis_Max",8e-04,"maximum","PGD","high frequency filtering (35 Hz)"
"folkestone","Hchan","35Hz","MCH1",305.837,51.9973,-2.9983,760,"Soil","Dis_Max",3e-04,"maximum","PGD","high frequency filtering (35 Hz)"
"folkestone","Hchan","35Hz","STNC",320.291,53.0913,-2.2062,760,"Soil","Dis_Max",0.001,"maximum","PGD","high frequency filtering (35 Hz)"
"folkestone","Hchan","35Hz","SWN1",212.155,51.5132,-1.8003,503,"Soil","Dis_Max",0.004,"maximum","PGD","high frequency filtering (35 Hz)"
"rasen","Bchan","10Hz","CWF",98.559,52.7385,-1.3077,1050,"Rock","Dis_Max",0.0169,"maximum","PGD","low frequency filtering (10 Hz)"
"rasen","Bchan","10Hz","MCH1",238.518,51.9973,-2.9983,760,"Soil","Dis_Max",0.002,"maximum","PGD","low frequency filtering (10 Hz)"
