time	accel_ms2
0	-0.000137311
0.005	-0.000147388
0.01	-0.000155442
0.015	-0.000159587
0.02	-0.000160375
0.025	-0.000161923
0.03	-0.000170201
0.035	-0.000188464
0.04	-0.000212457
0.045	-0.000230028
0.05	-0.000229011
0.055	-0.000208836
0.06	-0.000183768
0.065	-0.000173848
0.07	-0.000192194
0.075	-0.000235992
0.08	-0.000285515
0.085	-0.000314276
0.09	-0.000303577
0.095	-0.000251718
0.1	-0.000176793
0.105	-0.000108824
0.11	-8.08e-05
0.115	-0.000120187
0.12	-0.000230495
0.125	-0.00037024
0.13	-0.000458214
0.135	-0.000429477
0.14	-0.000303598
0.145	-0.00017823
0.15	-0.000143866
0.155	-0.00021178
0.16	-0.000316826
0.165	-0.00038225
0.17	-0.000375174
0.175	-0.000304767
0.18	-0.000219655
0.185	-0.000198006
0.19	-0.000280965
0.195	-0.000426174
0.2	-0.00055579
0.205	-0.00063215
0.21	-0.000671772
0.215	-0.000709
0.22	-0.000745495
0.225	-0.000735796
0.23	-0.000620795
0.235	-0.00040068
0.24	-0.000180448
0.245	-0.000124587
0.25	-0.000302385
0.255	-0.000586459
0.26	-0.000747238
0.265	-0.000635568
0.27	-0.000278914
0.275	0.000148617
0.28	0.000473683
0.285	0.000635554
0.29	0.000666093
0.295	0.000610626
0.3	0.000481861
0.305	0.00027918
0.31	2.62e-05
0.315	-0.00024339
0.32	-0.000558007
0.325	-0.00097919
0.33	-0.00141625
0.335	-0.001617247
0.34	-0.001412789
0.345	-0.000847749
0.35	-0.00012099
0.355	0.000518694
0.36	0.000931494
0.365	0.001152093
0.37	0.001274724
0.375	0.001294351
0.38	0.001065767
0.385	0.000441282
0.39	-0.000514007
0.395	-0.001454001
0.4	-0.001994191
0.405	-0.002044472
0.41	-0.001771898
0.415	-0.00131475
0.42	-0.000689334
0.425	9.34e-05
0.43	0.000887516
0.435	0.001489207
0.44	0.001768795
0.445	0.001686798
0.45	0.001278783
0.455	0.000689763
0.46	0.000192574
0.465	4.33e-05
0.47	0.000177347
0.475	0.000159407
0.48	-0.000326565
0.485	-0.001037777
0.49	-0.001363955
0.495	-0.000892907
0.5	0.000219862
0.505	0.001296255
0.51	0.001652852
0.515	0.001145554
0.52	0.000289569
0.525	-0.000118633
0.53	0.000312245
0.535	0.001189219
0.54	0.001737092
0.545	0.001478542
0.55	0.000569326
0.555	-0.000373257
0.56	-0.000801817
0.565	-0.00061433
0.57	-3.98e-05
0.575	0.000487624
0.58	0.000453347
0.585	-0.000255053
0.59	-0.001067508
0.595	-0.001210207
0.6	-0.000492661
0.605	0.000400421
0.61	0.000364196
0.615	-0.001081076
0.62	-0.003129241
0.625	-0.004241097
0.63	-0.003462519
0.635	-0.001195525
0.64	0.001266368
0.645	0.002845059
0.65	0.003294958
0.655	0.003018268
0.66	0.002563043
0.665	0.002278053
0.67	0.002261502
0.675	0.002467287
0.68	0.002788685
0.685	0.003052598
0.69	0.003004877
0.695	0.002412271
0.7	0.001303838
0.705	0.000159901
0.71	-0.000266777
0.715	0.000414515
0.72	0.001763061
0.725	0.002855196
0.73	0.00295925
0.735	0.001946794
0.74	0.000341683
0.745	-0.00099866
0.75	-0.001522474
0.755	-0.001432375
0.76	-0.001418967
0.765	-0.001934437
0.77	-0.002552639
0.775	-0.002311851
0.78	-0.000822237
0.785	0.001323573
0.79	0.0031617
0.795	0.003976144
0.8	0.003444375
0.805	0.001632963
0.81	-0.00089353
0.815	-0.003076333
0.82	-0.003887738
0.825	-0.003102852
0.83	-0.001403474
0.835	0.000173648
0.84	0.000847055
0.845	0.000628775
0.85	0.000281009
0.855	0.000509063
0.86	0.001292514
0.865	0.002158554
0.87	0.002789372
0.875	0.003202976
0.88	0.003492781
0.885	0.003496784
0.89	0.002781584
0.895	0.001059999
0.9	-0.001243992
0.905	-0.002897314
0.91	-0.002677429
0.915	-0.000556085
0.92	0.002092488
0.925	0.003473759
0.93	0.002499737
0.935	-0.000592422
0.94	-0.004267863
0.945	-0.006502508
0.95	-0.006076693
0.955	-0.003426632
0.96	-0.000451146
0.965	0.00074956
0.97	-0.000535623
0.975	-0.003061441
0.98	-0.004663195
0.985	-0.004019759
0.99	-0.00154322
0.995	0.001267535
1	0.003172852
1.005	0.003877759
1.01	0.003738514
1.015	0.003151547
1.02	0.002267672
1.025	0.001182881
1.03	0.000255052
1.035	4.85e-05
1.04	0.000757552
1.045	0.001803642
1.05	0.002315549
1.055	0.001911563
1.06	0.000986831
1.065	0.000321736
1.07	0.000290294
1.075	0.000501216
1.08	0.000368034
1.085	-0.000269622
1.09	-0.001257345
1.095	-0.002481284
1.1	-0.003788172
1.105	-0.004725272
1.11	-0.004609045
1.115	-0.003190377
1.12	-0.001130755
1.125	0.00050344
1.13	0.001219974
1.135	0.001325185
1.14	0.001159737
1.145	0.000516276
1.15	-0.000855163
1.155	-0.002523407
1.16	-0.0035453
1.165	-0.003276812
1.17	-0.0017376
1.175	0.000561709
1.18	0.002794696
1.185	0.004102568
1.19	0.003866705
1.195	0.001930043
1.2	-0.00111814
